Feature,Importance,StdDev
Resistin,0.10524475524475527,0.04699167150394495
Glucose,0.09871794871794876,0.09234866706128785
Age,0.040093240093240126,0.029291898769793136
BMI,0.030769230769230795,0.022450348023933805
Adiponectin,0.004195804195804235,0.007574860983343556
HOMA,-0.009207459207459157,0.02695534852312989
Leptin,-0.014102564102564049,0.01949873348382748
MCP.1,-0.015268065268065244,0.009272145968857245
Insulin,-0.01724941724941719,0.015867946317125882
